DEWA,Dubai Electricity and Water Authority
IPP,Independent Power Producer
MoU,Memorandum of Understanding
Suqia,Water Aid Foundation
WETEX,Water Energy Technology and Environment Exhibition
CSP,Concentrated Solar Power
CSR,Corporate Social Responsibility
WGES,World Green Economy Summit
DSCE,Dubai Supreme Council of Energy
AI,Artificial Intelligence
LEED,Energy and Environmental Design
UNDP,United Nations Development Programme
IoT,Internet of Things
IRENA,International Renewable Energy Agency
EEA,Emirates Energy Award
DGEP,Dubai Government Excellence Program
DCCE,Dubai Carbon Centre of Excellence
RTA,Roads and Transport Authority
WGEO,World Green Economy Organisation
SDME,Solar Decathlon Middle East
ENOC,Emirates National Oil Company
WFES,World Future Energy Summit
KHDA,Knowledge and Human Development Authority
MENA,Middle East and North Africa
UNFCCC,United Nations Framework Convention on Climate Change
ZEB,Zero Energy Building
MBRGI,Rashid Al Maktoum Global Initiatives
WEF,World Energy Forum
EFQM,European Foundation for Quality Management
Empower,Emirates Central Cooling Systems Corporation
LCOE,Levelised Cost of Electricity
IRM,Institute of Risk Management
DICEC,Dubai International Convention and Exhibition Centre
WWF,World Wide Fund for Nature
CDM,Clean Development Mechanism
EWS,Emirates Wildlife Society
UN,United Nations
CDA,Community Development Authority
RO,Reverse Osmosis
UAVs,Unmanned Aerial Vehicles
SCADA,Supervisory Control and Data Acquisition
DHA,Dubai Health Authority
GRI,Global Reporting Initiative
Masdar,Abu Dhabi Future Energy Company
ADNEC,Abu Dhabi National Exhibition Centre
MOU,Memorandum of Understanding
SCE,The Supreme Council of Energy
AMF,Arab Media Forum
EOI,Expression of Interest
GRE,Glass Reinforced Epoxy
GGGI,Global Green Growth Institute
BTEC,Business and Technology Education Council
DIGAE,Dubai International Government Achievements Exhibition
NREL,National Renewable Energy Laboratory
DGEF,Dubai Global Energy Forum
CERs,Certified Emission Reductions
DTCM,Tourism and Commerce Marketing
PHASE,Princess Haya Award for Special Education
GE,General Electric
UNEP,United Nations Environment Programme
ADWEA,Abu Dhabi Water and Electricity Authority
ERP,Enterprise Resource Planning
MBRGCEC,Rashid Global Centre for Endowment Consultancy
DUSUP,Simon Cattle General Manager of Dubai Supply Authority
SEWA,Sharjah Electricity and Water Authority
PPA,Power Purchase Agreement
RIT,Rochester Institute of Technology
RFP,Request for Proposals
DPG,Dubai Properties Group
ADSW,Abu Dhabi Sustainability Week
KEPCO,Korea Electric Power Corporation
CML,Customer Minutes Lost
EQM,Emirates Quality Mark
CENER,Spanish National Renewable Energy Centre
UAEU,United Arab Emirates University
FEWA,Federal Electricity and Water Authority
EmiratesGBC,Emirates Green Building Council
IT,Information Technology
MBRF,Rashid Al Maktoum Foundation
DoE,Department of Energy
INDCs,Intended Nationally Determined Contributions
AMAF,Awqaf and Minors Affairs Foundation
DIFC,Dubai International Financial Centre
DUBAL,Dubai Aluminium Company
EMPOWER,Emirates Central Cooling Systems Corporation
UNGC,United Nations Global Compact
DPC,Dubai Press Club
SDGs,Sustainable Development Goals
CISL,Cambridge Institute for Sustainability Leadership
EEG,Emirates Environmental Group
MSF,Multi Stage Flash
RERA,Real Estate Regulatory Agency
GCCIA,Gulf Cooperation Council Interconnection Authority
IED,Industrial Emissions Directive
IFC,International Finance Corporation
DRRG,Distributed Renewable Resources Generation
DMI,Dubai Media Incorporated
DIES,Dubai Integrated Energy Strategy
UNIDO,United Nations Industrial Development Organisation
MVA,Megavolt Amperes
Du,Emirates Integrated Telecommunications Company
DAC,Development Assistance Committee
DSOA,Dubai Silicon Oasis Authority
